0 10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180
5.7127e-06 1.0366e-05 8.726e-06 7.075e-06 6.0223e-06 4.948e-06 4.287e-06 3.6093e-06 2.5307e-06 1.8797e-06 -1.3993e-06 -3.7283e-06 -5.8377e-06 -7.056e-06 -6.8427e-06 -6.7357e-06 -7.2773e-06 -8.1193e-06 -8.118e-06
0.023899 0.023727 0.023556 0.023379 0.023203 0.023011 0.022819 0.022635 0.022461 0.02228 0.022108 0.021939 0.02178 0.021627 0.021494 0.021374 0.021253 0.021112 0.020967
0.047143 0.046952 0.04677 0.046544 0.046291 0.046019 0.045733 0.045443 0.04514 0.044829 0.044515 0.044199 0.043883 0.043571 0.043275 0.042977 0.042679 0.042368 0.042042
0.068153 0.067901 0.06777 0.067722 0.067665 0.067559 0.06741 0.067213 0.066978 0.066698 0.066375 0.066004 0.065593 0.065149 0.064685 0.064203 0.063707 0.063208 0.062678
0.085773 0.085599 0.085447 0.085431 0.085505 0.085588 0.085643 0.085641 0.085576 0.08544 0.085242 0.084985 0.08467 0.084302 0.083867 0.083364 0.082786 0.082118 0.081363
0.097239 0.097434 0.097544 0.097619 0.097797 0.09803 0.098272 0.09848 0.098634 0.098715 0.098709 0.098617 0.098416 0.0981 0.097683 0.097154 0.096527 0.095785 0.094921
0.10507 0.10557 0.10596 0.10625 0.10652 0.10683 0.10715 0.10745 0.10769 0.10786 0.10796 0.10799 0.10793 0.10775 0.10746 0.10703 0.10645 0.10569 0.10479
0.11116 0.11183 0.11237 0.11281 0.11314 0.11347 0.11378 0.11406 0.1143 0.11447 0.11459 0.11464 0.11461 0.1145 0.11428 0.11393 0.11344 0.11282 0.11207
0.11617 0.11691 0.11749 0.11795 0.11829 0.11859 0.11887 0.11912 0.11934 0.11952 0.11965 0.11973 0.11974 0.11967 0.11949 0.1192 0.1188 0.11828 0.11765
0.12034 0.12106 0.12164 0.1221 0.12244 0.12274 0.12301 0.12326 0.12349 0.12368 0.12382 0.12391 0.12393 0.12388 0.12372 0.12347 0.12313 0.12268 0.12215
0.12392 0.1246 0.12517 0.12563 0.12598 0.12627 0.12654 0.12677 0.12698 0.12716 0.1273 0.1274 0.12744 0.1274 0.12728 0.12708 0.12679 0.12641 0.12593
0.12697 0.12763 0.12818 0.12865 0.12902 0.1293 0.12955 0.12978 0.12999 0.13017 0.13031 0.13041 0.13045 0.13041 0.13029 0.1301 0.12985 0.12951 0.1291
0.12965 0.13026 0.13079 0.13125 0.13162 0.13191 0.13217 0.13241 0.13262 0.13279 0.13292 0.13301 0.13304 0.133 0.13289 0.13273 0.13249 0.13218 0.13181
0.13202 0.13261 0.13311 0.13354 0.13391 0.13422 0.13447 0.1347 0.1349 0.13505 0.13517 0.13525 0.13527 0.13524 0.13515 0.13501 0.1348 0.13452 0.13419
0.13412 0.13469 0.13518 0.13561 0.13599 0.13629 0.13654 0.13675 0.13694 0.13709 0.13721 0.13727 0.13728 0.13725 0.13716 0.13703 0.13684 0.1366 0.1363
0.13604 0.13659 0.13708 0.1375 0.13786 0.13816 0.1384 0.13861 0.13879 0.13893 0.13904 0.13909 0.13911 0.13908 0.139 0.13886 0.13868 0.13846 0.13818
0.13782 0.13835 0.13882 0.13923 0.13958 0.13987 0.14011 0.14031 0.14047 0.1406 0.14069 0.14074 0.14075 0.14072 0.14065 0.14053 0.14036 0.14015 0.13988
0.13948 0.13998 0.14043 0.14082 0.14116 0.14145 0.14168 0.14186 0.142 0.14211 0.14219 0.14223 0.14223 0.14219 0.14212 0.14201 0.14187 0.14168 0.14144
0.14101 0.14151 0.14194 0.14232 0.14264 0.14292 0.14314 0.1433 0.14343 0.14353 0.14359 0.14362 0.14361 0.14357 0.1435 0.14339 0.14326 0.14308 0.14286
